provider_id,npi,provider_name,specialty,state,network_status,phone
p-000001,9697354961,Jones Clinic,Cardiology,MD,IN,954-304-9935
p-000002,7831113321,Smith Clinic,PrimaryCare,MD,IN,438-717-1434
p-000003,7635473142,Brown Clinic,OBGYN,GA,IN,206-977-3615
p-000004,6756332150,Williams Clinic,Cardiology,NY,OUT,544-304-2519
p-000005,5710360983,Wilson Clinic,Endocrinology,NY,IN,244-947-8527
p-000006,9256195745,Johnson Clinic,Psychiatry,GA,IN,843-833-6925
p-000007,1298737106,Hernandez Clinic,Cardiology,NC,IN,281-438-2654
p-000008,6488854841,Hernandez Clinic,Orthopedics,NY,IN,579-563-4432
p-000009,9896606039,Hernandez Clinic,Cardiology,CA,IN,450-367-8573
p-000010,1240251661,Wilson Clinic,PrimaryCare,NY,IN,610-474-2084
p-000011,8378385615,Brown Clinic,Pulmonology,TX,IN,858-669-3340
p-000012,1599707677,Lopez Clinic,Psychiatry,CA,IN,964-798-8019
p-000013,7010379415,Brown Clinic,Cardiology,NC,IN,293-973-1771
p-000014,8217611860,Martinez Clinic,PrimaryCare,MD,IN,810-679-9669
p-000015,9639245200,Lopez Clinic,PrimaryCare,CA,IN,749-968-5371
p-000016,5774080233,Miller Clinic,Cardiology,FL,IN,939-936-5315
p-000017,4272602734,Rodriguez Clinic,PrimaryCare,GA,OUT,505-854-9317
p-000018,1854316681,Garcia Clinic,Orthopedics,NC,IN,997-743-1009
p-000019,6687206971,Smith Clinic,PrimaryCare,NC,OUT,514-445-1949
p-000020,5067116918,Johnson Clinic,Pulmonology,TX,IN,270-978-9727
p-000021,3361388464,Jones Clinic,Psychiatry,MO,OUT,633-416-9835
p-000022,8357059814,Miller Clinic,Pulmonology,TX,IN,648-729-8397
p-000023,2064746525,Johnson Clinic,Endocrinology,MD,IN,767-435-4608
p-000024,9894847574,Hernandez Clinic,PrimaryCare,VA,IN,232-538-2160
p-000025,6317189421,Hernandez Clinic,OBGYN,GA,IN,335-940-8744
p-000026,8664882079,Gonzalez Clinic,OBGYN,TX,IN,299-874-8062
p-000027,7114223633,Davis Clinic,Orthopedics,FL,IN,889-869-2612
p-000028,4700855390,Brown Clinic,Cardiology,VA,IN,659-343-7912
p-000029,6491309593,Brown Clinic,Orthopedics,MO,OUT,653-763-2604
p-000030,2015242176,Miller Clinic,OBGYN,VA,IN,610-260-3697
p-000031,6971815972,Anderson Clinic,Orthopedics,NY,IN,492-633-8973
p-000032,6110572428,Brown Clinic,PrimaryCare,MO,IN,755-262-6138
p-000033,9805294274,Davis Clinic,Psychiatry,VA,OUT,743-361-1931
p-000034,1798112150,Martinez Clinic,PrimaryCare,GA,IN,440-613-2964
p-000035,3553440342,Martinez Clinic,PrimaryCare,NC,IN,797-778-9565
p-000036,9309500117,Brown Clinic,Pulmonology,FL,IN,444-471-7484
p-000037,6583444930,Garcia Clinic,Orthopedics,MO,OUT,209-669-2638
p-000038,3309122187,Rodriguez Clinic,Endocrinology,MD,IN,557-270-5002
p-000039,2224011538,Davis Clinic,Orthopedics,FL,IN,509-826-9666
p-000040,7676965974,Anderson Clinic,Pulmonology,VA,IN,337-470-2891
p-000041,5962610986,Jones Clinic,Psychiatry,MD,IN,551-408-5325
p-000042,7393195616,Anderson Clinic,Orthopedics,GA,IN,849-633-5533
p-000043,5310195918,Gonzalez Clinic,Cardiology,VA,IN,468-365-8239
p-000044,8325785916,Rodriguez Clinic,PrimaryCare,GA,IN,907-352-9938
p-000045,8879525611,Martinez Clinic,Psychiatry,VA,IN,330-242-6050
p-000046,4696689457,Anderson Clinic,Endocrinology,FL,IN,455-882-2684
p-000047,4993808565,Wilson Clinic,Cardiology,FL,OUT,381-622-1406
p-000048,9292791081,Gonzalez Clinic,Pulmonology,MO,OUT,454-473-3608
p-000049,3021598245,Brown Clinic,Orthopedics,MD,OUT,558-512-4728
p-000050,9691572571,Brown Clinic,OBGYN,TX,IN,271-991-5573
p-000051,7597996327,Smith Clinic,PrimaryCare,FL,OUT,467-382-5349
p-000052,7161404428,Lopez Clinic,Orthopedics,VA,IN,820-723-2894
p-000053,6111349421,Smith Clinic,Pulmonology,NY,IN,732-751-4228
p-000054,2852408227,Hernandez Clinic,Endocrinology,FL,IN,879-327-5920
p-000055,7049001493,Miller Clinic,Pulmonology,GA,IN,330-396-7888
p-000056,4877520294,Martinez Clinic,Psychiatry,NY,IN,761-200-5978
p-000057,6197695041,Gonzalez Clinic,Psychiatry,CA,IN,529-676-8238
p-000058,3901796894,Rodriguez Clinic,OBGYN,IL,IN,953-373-2389
p-000059,2439622619,Wilson Clinic,Orthopedics,CA,IN,517-430-4262
p-000060,1104906255,Brown Clinic,OBGYN,MO,IN,986-274-8461
p-000061,3472487690,Lopez Clinic,Pulmonology,NY,IN,609-449-3417
p-000062,4803044105,Gonzalez Clinic,OBGYN,VA,IN,912-730-8611
p-000063,3394039673,Anderson Clinic,Orthopedics,VA,IN,336-675-9702
p-000064,7852415525,Gonzalez Clinic,OBGYN,GA,IN,936-716-7991
p-000065,8995059760,Davis Clinic,Endocrinology,GA,IN,852-483-9540
